Drug A,Drug B,Cell Line Name,Score
Vorinostat,Paclitaxel,SK-MEL-5,-9.88888888888889
Gefitinib,Lenalidomide,ACHN,-6.111111111111111
Thalidomide,Tretinoin,NCI-H522,-2.888888888888889
Everolimus,Celecoxib,UACC-62,1.5555555555555556
Fulvestrant,Everolimus,HCT-15,12.444444444444445
Fulvestrant,Nilotinib,SW-620,-3.333333333333333
Everolimus,Celecoxib,NCI-H460,-2.7777777777777777
Paclitaxel,Sirolimus,UO-31,4.111111111111111
Gefitinib,Lenalidomide,UO-31,-8.222222222222221
Fulvestrant,Everolimus,M14,-10.88888888888889
Vorinostat,Tretinoin,UACC-62,3.2222222222222223
Vorinostat,Sirolimus,NCI-H522,-3.888888888888889
Thalidomide,Cladribine,HCT-15,-0.7777777777777778
Streptozocin,Tretinoin,HCT-15,-4.111111111111111
Tretinoin,Cladribine,COLO 205,-4.222222222222222
Vorinostat,Celecoxib,PC-3,-7.666666666666667
Thalidomide,Mitotane,SK-MEL-28,0.8888888888888888
Dasatinib,Sirolimus,SF-539,-7.222222222222222
Sirolimus,Tretinoin,SF-539,1.2222222222222223
Sirolimus,Celecoxib,HCC-2998,-3.4444444444444446
Fulvestrant,Vorinostat,LOX IMVI,-11.555555555555555
Fulvestrant,Everolimus,ACHN,-2.333333333333333
Docetaxel,Sirolimus,OVCAR-4,3.555555555555556
Romidepsin,Paclitaxel,PC-3,5.888888888888889
Mitotane,Celecoxib,T-47D,-8.11111111111111
Vorinostat,Tretinoin,MDA-MB-468,2.2222222222222223
Nilotinib,Cladribine,HCC-2998,-10.444444444444445
Fulvestrant,Romidepsin,NCI-H226,-5.111111111111111
Fulvestrant,Romidepsin,OVCAR-8,2.333333333333333
Romidepsin,Docetaxel,SK-MEL-5,-1.4444444444444444
Docetaxel,Sirolimus,SF-539,3.2222222222222223
Romidepsin,Nilotinib,HCC-2998,-7.666666666666667
Everolimus,Dasatinib,NCI-H322M,1.5555555555555556
Dasatinib,Tretinoin,COLO 205,-4.555555555555555
Fulvestrant,Dasatinib,CCRF-CEM,-28.22222222222222
Dasatinib,Sirolimus,SW-620,0.6666666666666666
Paclitaxel,Celecoxib,SN12C,7.666666666666667
Romidepsin,Sirolimus,NCI-H522,3.555555555555556
Fulvestrant,Nilotinib,PC-3,-2.111111111111111
Everolimus,Romidepsin,RXF 393,-1.2222222222222223
Vorinostat,Tretinoin,IGROV1,-1.8888888888888888
Fulvestrant,Celecoxib,UO-31,-4.444444444444445
Streptozocin,Mitotane,SF-268,-3.333333333333333
Fulvestrant,Celecoxib,KM12,-3.0
Everolimus,Dasatinib,DU-145,-5.555555555555555
Streptozocin,Paclitaxel,SF-295,-5.888888888888889
Thalidomide,Docetaxel,SF-295,3.4444444444444446
Fulvestrant,Romidepsin,K-562,5.222222222222222
Thalidomide,Mitotane,OVCAR-3,1.8888888888888888
Dasatinib,Sirolimus,IGROV1,3.888888888888889
Mitotane,Paclitaxel,NCI-H322M,-0.6666666666666666
Paclitaxel,Sirolimus,BT-549,2.2222222222222223
Fulvestrant,Nilotinib,OVCAR-5,-4.444444444444445
Docetaxel,Cladribine,A549/ATCC,-6.444444444444445
Tretinoin,Cladribine,UACC-62,6.111111111111111
Fulvestrant,Celecoxib,NCI-H460,-4.555555555555555
Dasatinib,Nilotinib,UACC-257,-7.222222222222222
Megestrol acetate,Gefitinib,UO-31,-0.7777777777777778
Sirolimus,Mitotane,UO-31,5.555555555555555
Everolimus,Romidepsin,HS 578T,1.1111111111111112
Fulvestrant,Cladribine,SNB-75,-6.111111111111111
Everolimus,Tretinoin,SK-MEL-28,-8.222222222222221
Dasatinib,Nilotinib,IGROV1,-2.4444444444444446
Mitotane,Tretinoin,TK-10,-2.333333333333333
Thalidomide,Paclitaxel,NCI-H226,-3.111111111111111
Megestrol acetate,Gefitinib,UACC-62,5.111111111111111
Paclitaxel,Nilotinib,A549/ATCC,-2.7777777777777777
Tretinoin,Celecoxib,SK-OV-3,-3.4444444444444446
Dasatinib,Romidepsin,UACC-62,-3.888888888888889
Mitotane,Nilotinib,SNB-75,-4.888888888888889
Mitotane,Sirolimus,NCI-H23,-1.4444444444444444
Mitotane,Cladribine,SK-MEL-5,-0.2222222222222222
Dasatinib,Paclitaxel,K-562,13.11111111111111
Everolimus,Nilotinib,SF-268,-8.333333333333334
Fulvestrant,Tretinoin,SK-MEL-28,-0.4444444444444444
Fulvestrant,Romidepsin,SW-620,7.222222222222222
Fulvestrant,Celecoxib,SNB-75,-7.888888888888889
Docetaxel,Sirolimus,PC-3,3.111111111111111
Mitotane,Celecoxib,SK-OV-3,-3.0
Thalidomide,Mitotane,SF-539,-6.333333333333333
Thalidomide,Mitotane,OVCAR-4,-3.888888888888889
Docetaxel,Tretinoin,COLO 205,24.88888888888889
Fulvestrant,Nilotinib,NCI-H522,-3.888888888888889
Mitotane,Everolimus,LOX IMVI,3.6666666666666665
Mitotane,Docetaxel,NCI-H522,19.55555555555556
Fulvestrant,Nilotinib,KM12,0.1111111111111111
Streptozocin,Tretinoin,RXF 393,-5.0
Vorinostat,Cladribine,BT-549,-9.444444444444445
Thalidomide,Paclitaxel,SN12C,-5.333333333333333
Docetaxel,Celecoxib,UACC-257,2.2222222222222223
Everolimus,Paclitaxel,NCI-H522,11.88888888888889
Mitotane,Celecoxib,SK-MEL-5,-5.888888888888889
Vorinostat,Cladribine,RXF 393,-4.0
Docetaxel,Sirolimus,SNB-75,-5.555555555555555
Mitotane,Everolimus,HOP-92,-2.111111111111111
Fulvestrant,Dasatinib,SW-620,-1.7777777777777777
Docetaxel,Sirolimus,CCRF-CEM,1.5555555555555556
Romidepsin,Docetaxel,HCC-2998,-1.0
Streptozocin,Cladribine,HCC-2998,-11.0
Docetaxel,Tretinoin,A549/ATCC,11.666666666666666
Streptozocin,Mitotane,HCT-15,-8.666666666666666
Thalidomide,Paclitaxel,HCC-2998,-7.777777777777778
Mitotane,Docetaxel,SF-295,3.333333333333333
Nilotinib,Cladribine,NCI-H322M,-40.22222222222222
Thalidomide,Sirolimus,HCC-2998,-16.666666666666668
Fulvestrant,Sirolimus,IGROV1,-1.2222222222222223
Docetaxel,Cladribine,SK-MEL-5,-5.111111111111111
Nilotinib,Celecoxib,UO-31,-3.0
Streptozocin,Sirolimus,K-562,-6.0
Vorinostat,Docetaxel,RPMI-8226,-1.0
Fulvestrant,Dasatinib,MDA-MB-468,-1.6666666666666667
Paclitaxel,Cladribine,TK-10,-6.444444444444445
Sirolimus,Cladribine,HS 578T,-10.88888888888889
Dasatinib,Docetaxel,HCT-116,-7.777777777777778
Paclitaxel,Nilotinib,HCC-2998,14.11111111111111
Fulvestrant,Paclitaxel,T-47D,-0.7777777777777778
Paclitaxel,Tretinoin,NCI-H522,24.22222222222222
Megestrol acetate,Lenalidomide,HS 578T,-8.333333333333334
Dasatinib,Docetaxel,COLO 205,4.444444444444445
Dasatinib,Nilotinib,MCF7,-5.333333333333333
Mitotane,Everolimus,TK-10,-4.666666666666667
Nilotinib,Cladribine,LOX IMVI,-7.222222222222222
Cladribine,Celecoxib,SF-268,-9.333333333333334
Vorinostat,Sirolimus,HT29,-3.0
Vorinostat,Paclitaxel,UACC-62,-11.444444444444445
Vorinostat,Sirolimus,BT-549,-6.777777777777778
Thalidomide,Docetaxel,ACHN,-8.444444444444445
Mitotane,Sirolimus,A498,2.333333333333333
Fulvestrant,Sirolimus,K-562,-9.0
Gefitinib,Lenalidomide,HS 578T,-1.7777777777777777
Megestrol acetate,Lenalidomide,OVCAR-8,0.7777777777777778
Romidepsin,Sirolimus,NCI-H460,-1.0
Thalidomide,Sirolimus,HCT-15,-1.5555555555555556
Streptozocin,Paclitaxel,RXF 393,22.11111111111111
Sirolimus,Tretinoin,OVCAR-3,-2.4444444444444446
Mitotane,Sirolimus,A549/ATCC,-2.4444444444444446
Romidepsin,Cladribine,COLO 205,3.0
Streptozocin,Sirolimus,SN12C,4.222222222222222
Docetaxel,Paclitaxel,HCT-116,-4.111111111111111
Everolimus,Celecoxib,KM12,-5.333333333333333
Mitotane,Everolimus,RPMI-8226,7.222222222222222
Docetaxel,Cladribine,MDA-MB-468,-0.8888888888888888
Sirolimus,Nilotinib,HS 578T,-6.333333333333333
Streptozocin,Cladribine,ACHN,-4.777777777777778
Vorinostat,Tretinoin,A549/ATCC,-2.0
Tretinoin,Cladribine,T-47D,-3.7777777777777777
Romidepsin,Tretinoin,UACC-62,-7.333333333333333
Paclitaxel,Sirolimus,IGROV1,5.555555555555555
Fulvestrant,Paclitaxel,BT-549,-3.0
Thalidomide,Cladribine,OVCAR-5,-1.6666666666666667
Mitotane,Dasatinib,CAKI-1,-1.4444444444444444
Docetaxel,Paclitaxel,HS 578T,-2.555555555555556
Cladribine,Celecoxib,HCT-116,-7.333333333333333
Docetaxel,Nilotinib,SN12C,5.777777777777778
Gefitinib,Lenalidomide,SK-MEL-2,-0.4444444444444444
Dasatinib,Paclitaxel,UO-31,3.6666666666666665
Streptozocin,Paclitaxel,MCF7,-10.0
Sirolimus,Nilotinib,IGROV1,-17.88888888888889
Everolimus,Cladribine,RPMI-8226,-8.666666666666666
Fulvestrant,Celecoxib,TK-10,-8.333333333333334
Streptozocin,Tretinoin,SW-620,-3.333333333333333
Vorinostat,Paclitaxel,MDA-MB-231/ATCC,-4.444444444444445
Dasatinib,Celecoxib,A549/ATCC,3.4444444444444446
Everolimus,Nilotinib,K-562,-9.77777777777778
Everolimus,Sirolimus,NCI-H322M,0.7777777777777778
Sirolimus,Cladribine,T-47D,-10.77777777777778
Romidepsin,Cladribine,NCI-H460,-0.5555555555555556
Vorinostat,Celecoxib,T-47D,-7.333333333333333
Fulvestrant,Vorinostat,UACC-257,-0.3333333333333333
Docetaxel,Paclitaxel,TK-10,-6.444444444444445
Sirolimus,Celecoxib,TK-10,-1.1111111111111112
Mitotane,Docetaxel,A498,1.1111111111111112
Everolimus,Cladribine,HT29,0.7777777777777778
Sirolimus,Cladribine,OVCAR-3,-10.22222222222222
Docetaxel,Cladribine,MOLT-4,0.1111111111111111
Thalidomide,Mitotane,MDA-MB-468,2.111111111111111
Fulvestrant,Romidepsin,A498,11.333333333333334
Streptozocin,Docetaxel,UACC-62,-1.7777777777777777
Dasatinib,Nilotinib,RPMI-8226,-7.444444444444445
Docetaxel,Tretinoin,CCRF-CEM,21.88888888888889
Tretinoin,Celecoxib,HCC-2998,-5.0
Fulvestrant,Paclitaxel,A549/ATCC,-3.4444444444444446
Romidepsin,Docetaxel,HCT-116,8.444444444444445
Fulvestrant,Tretinoin,NCI-H23,-0.6666666666666666
Streptozocin,Cladribine,CCRF-CEM,-4.888888888888889
Dasatinib,Docetaxel,NCI-H460,-1.0
Vorinostat,Cladribine,UO-31,8.555555555555555
Romidepsin,Docetaxel,IGROV1,3.4444444444444446
Paclitaxel,Cladribine,SW-620,-2.0
Nilotinib,Tretinoin,BT-549,-10.88888888888889
Thalidomide,Docetaxel,HT29,-1.8888888888888888
Mitotane,Sirolimus,MDA-MB-231/ATCC,-1.5555555555555556
Mitotane,Docetaxel,A549/ATCC,-1.5555555555555556
Paclitaxel,Sirolimus,A498,7.0
Docetaxel,Nilotinib,SK-MEL-28,-9.444444444444445
Romidepsin,Tretinoin,DU-145,-3.0
Mitotane,Sirolimus,SF-539,-5.888888888888889
Romidepsin,Nilotinib,NCI-H226,-3.2222222222222223
Fulvestrant,Romidepsin,RXF 393,6.111111111111111
Vorinostat,Tretinoin,NCI-H460,-4.0
Dasatinib,Paclitaxel,NCI-H226,1.8888888888888888
Vorinostat,Sirolimus,MDA-MB-468,-7.333333333333333
Streptozocin,Cladribine,SN12C,-4.0
Everolimus,Celecoxib,SK-MEL-28,-21.0
Docetaxel,Fulvestrant,NCI-H226,9.666666666666666
Mitotane,Paclitaxel,MOLT-4,-10.88888888888889
Vorinostat,Sirolimus,IGROV1,-4.444444444444445
Fulvestrant,Sirolimus,SR,-4.666666666666667
Dasatinib,Vorinostat,HS 578T,0.0
Sirolimus,Tretinoin,MDA-MB-231/ATCC,-1.2222222222222223
Romidepsin,Sirolimus,HT29,-6.666666666666667
Everolimus,Docetaxel,NCI-H460,11.22222222222222
Fulvestrant,Everolimus,IGROV1,31.11111111111111
Fulvestrant,Tretinoin,SF-268,-4.111111111111111
Nilotinib,Cladribine,SF-539,-4.222222222222222
Nilotinib,Tretinoin,CCRF-CEM,-9.11111111111111
Vorinostat,Tretinoin,SF-539,0.5555555555555556
Vorinostat,Cladribine,OVCAR-8,-1.4444444444444444
Mitotane,Everolimus,786-0,3.4444444444444446
Everolimus,Romidepsin,UO-31,0.3333333333333333
Nilotinib,Celecoxib,U251,-7.0
Romidepsin,Nilotinib,SN12C,-7.666666666666667
Mitotane,Nilotinib,HS 578T,-1.2222222222222223
Everolimus,Paclitaxel,HT29,9.11111111111111
Mitotane,Tretinoin,OVCAR-5,-0.5555555555555556
Streptozocin,Docetaxel,HS 578T,-7.444444444444445
Romidepsin,Cladribine,OVCAR-3,-0.6666666666666666
Sirolimus,Cladribine,SF-268,-3.111111111111111
Thalidomide,Sirolimus,M14,5.444444444444445
Fulvestrant,Cladribine,MDA-MB-231/ATCC,-0.2222222222222222
Fulvestrant,Romidepsin,SF-295,-0.6666666666666666
Docetaxel,Sirolimus,RXF 393,-3.2222222222222223
Everolimus,Tretinoin,MCF7,1.4444444444444444
Everolimus,Romidepsin,T-47D,-0.8888888888888888
Fulvestrant,Celecoxib,IGROV1,-5.333333333333333
Streptozocin,Paclitaxel,K-562,-11.77777777777778
Sirolimus,Celecoxib,NCI-H23,-3.333333333333333
Vorinostat,Nilotinib,MDA-MB-468,-8.666666666666666
Mitotane,Celecoxib,ACHN,-3.111111111111111
Docetaxel,Celecoxib,UACC-62,19.55555555555556
Dasatinib,Cladribine,HT29,-9.333333333333334
Sirolimus,Tretinoin,IGROV1,10.555555555555555
Everolimus,Romidepsin,NCI-H460,0.3333333333333333
Romidepsin,Docetaxel,DU-145,-6.111111111111111
Dasatinib,Romidepsin,MDA-MB-231/ATCC,-7.555555555555555
Megestrol acetate,Gefitinib,SNB-75,-7.777777777777778
Thalidomide,Cladribine,ACHN,-2.0
Gefitinib,Lenalidomide,NCI-H226,-0.7777777777777778
Vorinostat,Sirolimus,COLO 205,-3.555555555555556
Dasatinib,Nilotinib,TK-10,0.1111111111111111
Vorinostat,Sirolimus,MOLT-4,-3.0
Vorinostat,Tretinoin,PC-3,-10.0
Fulvestrant,Paclitaxel,CAKI-1,-6.222222222222222
Dasatinib,Nilotinib,SK-MEL-28,-24.11111111111111
Paclitaxel,Cladribine,A549/ATCC,-4.888888888888889
Tretinoin,Cladribine,PC-3,-4.444444444444445
Dasatinib,Celecoxib,MDA-MB-231/ATCC,8.777777777777779
Fulvestrant,Cladribine,SF-539,-7.333333333333333
Dasatinib,Docetaxel,UO-31,0.2222222222222222
Tretinoin,Celecoxib,786-0,-4.111111111111111
Thalidomide,Mitotane,UACC-257,-3.111111111111111
Romidepsin,Cladribine,SK-MEL-28,4.333333333333333
Fulvestrant,Dasatinib,OVCAR-3,5.666666666666667
Thalidomide,Tretinoin,U251,-12.666666666666666
Gefitinib,Lenalidomide,M14,1.2222222222222223
Mitotane,Celecoxib,EKVX,-6.333333333333333
Dasatinib,Paclitaxel,NCI-H322M,3.7777777777777777
Romidepsin,Nilotinib,SF-539,-5.777777777777778
Megestrol acetate,Gefitinib,HS 578T,-8.222222222222221
Sirolimus,Tretinoin,BT-549,-13.77777777777778
Vorinostat,Romidepsin,SN12C,1.6666666666666667
Docetaxel,Tretinoin,T-47D,12.77777777777778
Dasatinib,Nilotinib,KM12,-0.7777777777777778
Gefitinib,Lenalidomide,OVCAR-8,0.1111111111111111
Docetaxel,Fulvestrant,OVCAR-5,18.33333333333333
Mitotane,Docetaxel,NCI-H322M,10.0
Paclitaxel,Nilotinib,TK-10,-22.88888888888889
Mitotane,Nilotinib,A498,-6.555555555555555
Tretinoin,Cladribine,RXF 393,-6.444444444444445
Mitotane,Docetaxel,TK-10,-6.333333333333333
Everolimus,Paclitaxel,BT-549,11.11111111111111
Mitotane,Sirolimus,M14,-0.8888888888888888
Everolimus,Tretinoin,HT29,-4.888888888888889
Streptozocin,Sirolimus,EKVX,-2.0
Everolimus,Cladribine,IGROV1,3.333333333333333
Mitotane,Celecoxib,HOP-92,-5.666666666666667
Nilotinib,Tretinoin,NCI-H226,-0.3333333333333333
Romidepsin,Tretinoin,MDA-MB-231/ATCC,-1.7777777777777777
Mitotane,Cladribine,NCI-H226,-15.88888888888889
Romidepsin,Docetaxel,OVCAR-5,-5.0
Dasatinib,Sirolimus,HCT-15,-1.5555555555555556
Romidepsin,Sirolimus,SN12C,-0.5555555555555556
Everolimus,Romidepsin,MCF7,-1.3333333333333333
Vorinostat,Celecoxib,SK-MEL-5,-7.777777777777778
Mitotane,Tretinoin,SF-539,-1.1111111111111112
Everolimus,Paclitaxel,K-562,-8.222222222222221
Dasatinib,Vorinostat,MDA-MB-231/ATCC,-6.777777777777778
Everolimus,Paclitaxel,HS 578T,8.0
Dasatinib,Paclitaxel,OVCAR-3,13.666666666666666
Nilotinib,Tretinoin,HS 578T,4.444444444444445
Dasatinib,Vorinostat,UACC-257,-1.3333333333333333
Dasatinib,Romidepsin,KM12,-5.333333333333333
Paclitaxel,Cladribine,RPMI-8226,26.22222222222222
Sirolimus,Celecoxib,NCI-H322M,7.777777777777778
Mitotane,Everolimus,SF-539,6.888888888888889
Nilotinib,Celecoxib,SK-OV-3,-7.777777777777778
Nilotinib,Celecoxib,COLO 205,-6.222222222222222
Romidepsin,Celecoxib,OVCAR-5,-8.0
Fulvestrant,Romidepsin,BT-549,10.0
Fulvestrant,Romidepsin,HCT-15,5.666666666666667
Paclitaxel,Sirolimus,T-47D,-8.666666666666666
Cladribine,Celecoxib,RXF 393,-4.111111111111111
Fulvestrant,Everolimus,SW-620,12.77777777777778
Gefitinib,Lenalidomide,A498,-5.888888888888889
Docetaxel,Sirolimus,NCI-H226,3.555555555555556
Gefitinib,Lenalidomide,BT-549,5.0
Sirolimus,Cladribine,A498,-6.666666666666667
Fulvestrant,Nilotinib,A549/ATCC,-2.7777777777777777
Gefitinib,Lenalidomide,CAKI-1,-8.777777777777779
Streptozocin,Cladribine,OVCAR-5,1.6666666666666667
Vorinostat,Sirolimus,UACC-257,-3.4444444444444446
Fulvestrant,Tretinoin,MCF7,4.666666666666667
Dasatinib,Celecoxib,SK-MEL-28,-9.88888888888889
Paclitaxel,Sirolimus,RPMI-8226,-6.888888888888889
Everolimus,Nilotinib,HCC-2998,-5.333333333333333
Streptozocin,Sirolimus,HT29,0.1111111111111111
Docetaxel,Nilotinib,OVCAR-8,10.0
Everolimus,Docetaxel,UACC-257,0.8888888888888888
Streptozocin,Sirolimus,OVCAR-8,-3.0
Docetaxel,Sirolimus,BT-549,1.0
Thalidomide,Sirolimus,K-562,-12.333333333333334
Dasatinib,Celecoxib,RPMI-8226,0.0
Everolimus,Nilotinib,MCF7,0.0
Romidepsin,Sirolimus,OVCAR-8,-2.2222222222222223
Everolimus,Sirolimus,A498,2.0
Thalidomide,Mitotane,HOP-92,-4.222222222222222
Docetaxel,Nilotinib,BT-549,10.77777777777778
Streptozocin,Cladribine,U251,-8.11111111111111
Romidepsin,Paclitaxel,A498,-8.88888888888889
Paclitaxel,Sirolimus,MOLT-4,11.77777777777778
Romidepsin,Tretinoin,SF-268,-0.6666666666666666
Fulvestrant,Cladribine,DU-145,-0.5555555555555556
Gefitinib,Lenalidomide,HCT-15,-0.2222222222222222
Paclitaxel,Cladribine,UACC-62,4.111111111111111
Sirolimus,Nilotinib,SK-OV-3,3.111111111111111
Cladribine,Celecoxib,EKVX,-10.666666666666666
Streptozocin,Docetaxel,NCI-H322M,-8.11111111111111
Everolimus,Sirolimus,PC-3,6.777777777777778
Streptozocin,Docetaxel,HCT-15,-3.333333333333333
Fulvestrant,Everolimus,A549/ATCC,25.666666666666668
Fulvestrant,Celecoxib,HT29,-3.4444444444444446
Everolimus,Paclitaxel,HCT-15,-5.777777777777778
Mitotane,Nilotinib,U251,-7.111111111111111
Mitotane,Paclitaxel,HT29,-2.0
Vorinostat,Romidepsin,NCI-H522,2.4444444444444446
Megestrol acetate,Lenalidomide,OVCAR-3,-2.2222222222222223
Fulvestrant,Sirolimus,OVCAR-4,-6.666666666666667
Mitotane,Tretinoin,HCT-116,3.555555555555556
Dasatinib,Vorinostat,HCT-116,4.111111111111111
Mitotane,Dasatinib,MOLT-4,-3.888888888888889
Mitotane,Dasatinib,MDA-MB-468,-0.1111111111111111
Romidepsin,Nilotinib,UACC-257,-0.1111111111111111
Streptozocin,Docetaxel,SF-539,-2.111111111111111
Everolimus,Romidepsin,HCC-2998,-0.2222222222222222
Streptozocin,Tretinoin,RPMI-8226,-4.111111111111111
Dasatinib,Paclitaxel,OVCAR-4,-1.5555555555555556
Tretinoin,Cladribine,NCI-H322M,-3.0
Streptozocin,Docetaxel,HOP-92,-4.333333333333333
Fulvestrant,Dasatinib,OVCAR-4,0.5555555555555556
Paclitaxel,Celecoxib,HT29,26.0
Mitotane,Celecoxib,OVCAR-5,-3.111111111111111
Mitotane,Docetaxel,SNB-75,-1.6666666666666667
Docetaxel,Paclitaxel,OVCAR-4,1.7777777777777777
Streptozocin,Mitotane,SN12C,3.111111111111111
Thalidomide,Cladribine,NCI-H522,-1.5555555555555556
Fulvestrant,Paclitaxel,HCC-2998,3.888888888888889
Fulvestrant,Celecoxib,SR,-12.444444444444445
Docetaxel,Tretinoin,SK-MEL-28,13.666666666666666
Vorinostat,Nilotinib,SN12C,-7.666666666666667
Everolimus,Paclitaxel,KM12,-9.0
Romidepsin,Celecoxib,TK-10,0.3333333333333333
Romidepsin,Sirolimus,NCI-H226,-1.1111111111111112
Sirolimus,Celecoxib,OVCAR-3,4.444444444444445
Streptozocin,Paclitaxel,HCT-15,-9.0
Romidepsin,Cladribine,HT29,-2.555555555555556
Fulvestrant,Romidepsin,HOP-62,0.4444444444444444
Gefitinib,Lenalidomide,NCI-H322M,3.111111111111111
Cladribine,Celecoxib,A498,-8.333333333333334
Mitotane,Cladribine,SNB-75,-7.555555555555555
Streptozocin,Mitotane,OVCAR-8,-3.888888888888889
Mitotane,Celecoxib,UACC-62,-4.111111111111111
Mitotane,Sirolimus,HCT-15,-6.111111111111111
Romidepsin,Cladribine,RXF 393,2.7777777777777777
Mitotane,Tretinoin,HCT-15,6.444444444444445
Thalidomide,Tretinoin,OVCAR-8,-3.4444444444444446
Paclitaxel,Tretinoin,MOLT-4,35.0
Streptozocin,Tretinoin,K-562,-4.444444444444445
Fulvestrant,Tretinoin,ACHN,0.4444444444444444
Fulvestrant,Cladribine,MDA-MB-468,-6.555555555555555
Fulvestrant,Tretinoin,SK-OV-3,3.4444444444444446
Nilotinib,Tretinoin,U251,-7.111111111111111
Tretinoin,Cladribine,HS 578T,6.666666666666667
Thalidomide,Mitotane,LOX IMVI,-4.222222222222222
Everolimus,Sirolimus,IGROV1,5.0
Fulvestrant,Paclitaxel,HCT-116,-4.0
Vorinostat,Sirolimus,NCI-H460,-2.333333333333333
Vorinostat,Paclitaxel,MDA-MB-468,-24.55555555555556
Streptozocin,Mitotane,LOX IMVI,-4.444444444444445
Paclitaxel,Sirolimus,NCI-H460,13.22222222222222
Streptozocin,Paclitaxel,LOX IMVI,2.4444444444444446
Sirolimus,Mitotane,OVCAR-4,7.0
Dasatinib,Nilotinib,DU-145,-11.88888888888889
Mitotane,Dasatinib,OVCAR-4,-4.444444444444445
Dasatinib,Docetaxel,DU-145,-3.555555555555556
Vorinostat,Celecoxib,IGROV1,-3.111111111111111
Romidepsin,Celecoxib,HS 578T,-0.1111111111111111
Romidepsin,Nilotinib,UO-31,-6.0
Mitotane,Sirolimus,HOP-62,-10.555555555555555
Docetaxel,Paclitaxel,RXF 393,-16.22222222222222
Paclitaxel,Celecoxib,MOLT-4,28.55555555555556
Vorinostat,Celecoxib,MDA-MB-468,-4.111111111111111
Thalidomide,Mitotane,HS 578T,1.5555555555555556
Vorinostat,Tretinoin,TK-10,-5.333333333333333
Dasatinib,Celecoxib,KM12,-6.0
Everolimus,Romidepsin,NCI-H522,-2.111111111111111
Dasatinib,Paclitaxel,HT29,-8.88888888888889
Thalidomide,Docetaxel,M14,-6.555555555555555
Docetaxel,Tretinoin,LOX IMVI,15.444444444444445
Dasatinib,Celecoxib,OVCAR-5,-2.888888888888889
